"Name","Members"
"Administrators","Administrator | devadmin | islamadmin | maliurgent | MTawfikUrgent | solidadmin | solidadmintwo | solidfinal | wpadmin | wpsolidadmin"
"Authorized Personnel","4005 | abdelrahmanurgent | AHussainUrgent | GabrUrgent | islamadmin | maliurgent | MTawfikUrgent | mwahbaurgent | nadaurgent | PepoUrgent | wpadmin"
"Compliance Management",""
"Delegated Setup",""
"Discovery Management","wpadmin"
"Domain Admins","4005 | abdelrahmanurgent | Administrator | backup-sa | devadmin | DevScripts | GabrUrgent | islamadmin | KSE | maliurgent | MTawfikUrgent | mwahbaurgent | nadaurgent | PepoUrgent | solidadmin | wpadmin"
"Enterprise Admins","4005 | Administrator | islamadmin | maliurgent | MTawfikUrgent | solidadmin | wpadmin"
"Exchange Servers",""
"Exchange Trusted Subsystem",""
"Exchange Windows Permissions",""
"ExchangeLegacyInterop",""
"FrontAdmins",""
"Help Desk","nextcloud"
"Hygiene Management",""
"Impersonation-Privilege","DevScripts | solidadmin"
"import and export role permissions","islamadmin"
"Managed Availability Servers",""
"Organization Management","Administrator | devadmin | DevScripts | GabrUrgent | islamadmin | KSE | maliurgent | MTawfikUrgent | mwahbaurgent | nadaurgent | PepoUrgent | roadmin | solidadmin | solidadmintwo | solidfinal | wpadmin | wpsolidadmin"
"Public Folder Management",""
"Recipient Management",""
"Records Management",""
"Schema Admins","4005 | Administrator | islamadmin | MTawfikUrgent | roadmin | wpadmin"
"Security Administrator",""
"Security Reader",""
"Server Management","exadmin"
"Server Operators",""
"UM Management",""
"View-Only Organization Management","ExchangeMonitor | QueueMonitor"
"WP-Services-Import_Export_MBXs","BadawyUrgent | PanelExport"
"WP-Support-L1",""
"WP-Support-L2","mwahbaurgent | nadaurgent"
